name,parent,value
Origin,,
#000000,Origin,3377
#6c2940,Origin,6291
#403578,Origin,241
#d93cf0,Origin,0
#135740,Origin,889
#2697f0,Origin,387
#bfb4f8,Origin,296
#404b07,Origin,18391
#d9680f,Origin,5996
#808080,Origin,440
#eca8bf,Origin,519
#26c30f,Origin,1087
#bfca87,Origin,397
#93d6bf,Origin,91
#ffffff,Origin,1598
