name,parent,value
Origin,,
#000000,Origin,21755
#0000c0,Origin,113
#c00000,Origin,8599
#c000c0,Origin,138
#00c000,Origin,1856
#00c0c0,Origin,676
#c0c000,Origin,2437
#0000ff,Origin,0
#ff0000,Origin,1785
#ff00ff,Origin,0
#00ff00,Origin,0
#00ffff,Origin,0
#ffff00,Origin,150
#ffffff,Origin,2491
