name,parent,value
Origin,,
#000000,Origin,24420
#0000ff,Origin,389
#ff0000,Origin,9617
#ff00ff,Origin,17
#00ff00,Origin,1161
#00ffff,Origin,157
#ffff00,Origin,1610
#ffffff,Origin,2629
